onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	recalled	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	0.0	12537	STIM_ON	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	1	0	500	LTCG29	LTCG30	250.0	200	100	300	FR3	0	R1154D
0.5	7.512	13037	STIM_OFF	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	500	LTCG29	LTCG30	250.0	200	100	300	FR3	0	R1154D
8.012	0.0	20548	STIM_ON	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	1	0	500	LTCG29	LTCG30	500.0	200	100	300	FR3	0	R1154D
8.512	6.827	21048	STIM_OFF	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	500	LTCG29	LTCG30	500.0	200	100	300	FR3	0	R1154D
15.339	0.0	27875	STIM_ON	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	1	0	500	LTCG29	LTCG30	750.0	200	100	300	FR3	0	R1154D
15.839	7.123	28375	STIM_OFF	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	500	LTCG29	LTCG30	750.0	200	100	300	FR3	0	R1154D
22.962	0.0	35498	STIM_ON	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	1	0	500	LTCG29	LTCG30	1000.0	200	100	300	FR3	0	R1154D
23.462	7.507	35997	STIM_OFF	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	500	LTCG29	LTCG30	1000.0	200	100	300	FR3	0	R1154D
30.969	0.0	43504	STIM_ON	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	1	0	500	LTCG29	LTCG30	1000.0	200	100	300	FR3	0	R1154D
31.469	12.096	44004	STIM_OFF	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	500	LTCG29	LTCG30	1000.0	200	100	300	FR3	0	R1154D
43.565	0.0	56099	INSTRUCT_START	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
43.565	11.102	56099	INSTRUCT_END	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
54.667	0.0	67201	SESS_START	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
54.667	45.001	67201	MIC_TEST	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
99.668	2.574	112199	PRACTICE_TRIAL	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
102.242	10.0	114773	COUNTDOWN_START	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
112.67	0.008	125201	COUNTDOWN_END	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
112.678	1.6	125209	PRACTICE_ORIENT	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
114.294	1.967	126825	PRACTICE_ORIENT_OFF	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
116.261	1.6	128792	PRACTICE_WORD	n/a	n/a	COTTON	1	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
117.879	0.983	130409	PRACTICE_WORD_OFF	n/a	n/a	COTTON	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
118.862	1.6	131392	PRACTICE_WORD	n/a	n/a	CHEST	2	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
120.479	0.85	133009	PRACTICE_WORD_OFF	n/a	n/a	CHEST	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
121.329	1.6	133859	PRACTICE_WORD	n/a	n/a	ATTIC	3	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
122.946	0.934	135476	PRACTICE_WORD_OFF	n/a	n/a	ATTIC	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
123.88	1.6	136410	PRACTICE_WORD	n/a	n/a	WATCH	4	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
125.497	0.782	138027	PRACTICE_WORD_OFF	n/a	n/a	WATCH	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
126.279	1.6	138809	PRACTICE_WORD	n/a	n/a	IRON	5	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
127.88	0.934	140410	PRACTICE_WORD_OFF	n/a	n/a	IRON	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
128.814	1.6	141344	PRACTICE_WORD	n/a	n/a	WAGON	6	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
130.431	0.917	142961	PRACTICE_WORD_OFF	n/a	n/a	WAGON	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
131.348	1.6	143878	PRACTICE_WORD	n/a	n/a	CAMEL	7	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
132.965	0.8	145495	PRACTICE_WORD_OFF	n/a	n/a	CAMEL	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
133.765	1.6	146295	PRACTICE_WORD	n/a	n/a	RING	8	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
135.382	0.95	147911	PRACTICE_WORD_OFF	n/a	n/a	RING	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
136.332	1.6	148861	PRACTICE_WORD	n/a	n/a	BEAM	9	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
137.949	0.817	150478	PRACTICE_WORD_OFF	n/a	n/a	BEAM	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
138.766	1.6	151295	PRACTICE_WORD	n/a	n/a	FLOOD	10	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
140.383	0.95	152912	PRACTICE_WORD_OFF	n/a	n/a	FLOOD	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
141.333	1.6	153862	PRACTICE_WORD	n/a	n/a	RHINO	11	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
142.95	0.917	155479	PRACTICE_WORD_OFF	n/a	n/a	RHINO	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
143.867	1.6	156396	PRACTICE_WORD	n/a	n/a	TONGUE	12	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
145.484	0.0	158013	PRACTICE_WORD_OFF	n/a	n/a	TONGUE	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
145.484	0.0	158013	DISTRACT_START	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
145.484	0.016	158013	START	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
145.5	4.468	158029	PROB	4.436	n/a	n/a	-999	0	-1	[5, 2, 4]	11	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
149.968	1.834	162497	PROB	1.808	n/a	n/a	-999	0	-1	[1, 8, 1]	10	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
151.802	4.433	164331	PROB	4.397	n/a	n/a	-999	0	-1	[9, 5, 7]	21	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
156.235	1.751	168763	PROB	1.717	n/a	n/a	-999	0	-1	[5, 1, 8]	14	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
157.986	2.116	170514	PROB	2.084	n/a	n/a	-999	0	-1	[8, 5, 3]	16	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
160.102	3.034	172630	PROB	3.009	n/a	n/a	-999	0	-1	[2, 8, 9]	19	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
163.136	2.457	175664	PROB	2.457	n/a	n/a	-999	0	-1	[3, 4, 2]	9	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
165.593	0.011	178121	STOP	n/a	n/a	n/a	-999	0	-1	[-999, -999, -999]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
165.604	0.566	178132	DISTRACT_END	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
166.17	0.5	178698	RETRIEVAL_ORIENT	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
166.676	30.008	179204	PRACTICE_REC_START	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
196.684	8.177	209210	PRACTICE_REC_END	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
204.861	0.5	217387	TRIAL	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
205.361	10.0	217887	COUNTDOWN_START	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
215.789	0.008	228314	COUNTDOWN_END	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
215.797	1.6	228322	ORIENT	n/a	n/a	n/a	-999	0	1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1154D
