onset	duration	sample	trial_type	response_time	stim_file	item_name	serialpos	recalled	list	test	answer	stimulation	stim_list	stim_duration	anode_label	cathode_label	amplitude	pulse_freq	n_pulses	pulse_width	experiment	session	subject
0.0	0.0	12031	INSTRUCT_START	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
0.0	11.081	12031	INSTRUCT_END	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
11.081	0.0	23111	SESS_START	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
11.081	23.501	23111	MIC_TEST	n/a	n/a	n/a	-999	0	-999	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
34.582	2.093	46611	PRACTICE_TRIAL	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
36.675	10.0	48703	COUNTDOWN_START	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
47.103	0.006	59131	COUNTDOWN_END	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
47.109	1.6	59137	PRACTICE_ORIENT	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
48.727	1.934	60755	PRACTICE_ORIENT_OFF	n/a	n/a	n/a	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
50.661	1.6	62689	PRACTICE_WORD	n/a	n/a	RHINO	1	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
52.278	0.95	64305	PRACTICE_WORD_OFF	n/a	n/a	RHINO	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
53.228	1.6	65255	PRACTICE_WORD	n/a	n/a	WAGON	2	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
54.845	0.883	66872	PRACTICE_WORD_OFF	n/a	n/a	WAGON	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
55.728	1.6	67755	PRACTICE_WORD	n/a	n/a	WATCH	3	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
57.345	0.9	69372	PRACTICE_WORD_OFF	n/a	n/a	WATCH	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
58.245	1.6	70272	PRACTICE_WORD	n/a	n/a	FLOOD	4	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
59.862	0.901	71889	PRACTICE_WORD_OFF	n/a	n/a	FLOOD	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
60.763	1.6	72790	PRACTICE_WORD	n/a	n/a	COTTON	5	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
62.379	0.834	74406	PRACTICE_WORD_OFF	n/a	n/a	COTTON	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
63.213	1.6	75240	PRACTICE_WORD	n/a	n/a	IRON	6	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
64.83	0.967	76857	PRACTICE_WORD_OFF	n/a	n/a	IRON	-999	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
65.797	1.6	77824	PRACTICE_WORD	n/a	n/a	CAMEL	7	0	-1	[0, 0, 0]	n/a	0	0	0	n/a	n/a	0.0	0	0	0	FR3	0	R1217T
